imdbID,Rated,Language,Country,Major_Awards,Metascore_binned,Box_office_binned
tt2278388,R,Multilingual/Foreign,Germany,1,high,100Mil
tt2294629,T,Multilingual/Foreign,USA,1,high,500Mil
tt2317337,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt2338151,Not Rated,Multilingual/Foreign,India,0,N/A,10Mil
tt2361509,T,English,USA,0,mid,100Mil
tt2379713,T,Multilingual/Foreign,UK,1,mid,500Mil
tt2380307,T,Multilingual/Foreign,USA,1,high,500Mil
tt2381111,T,Multilingual/Foreign,UK,1,high,100Mil
tt2386490,T,English,USA,1,high,N/A
tt2395469,Not Rated,Hindi,India,0,mid,N/A
tt2488496,T,English,USA,1,high,
tt2518788,Not Rated,English,USA,0,N/A,N/A
tt2527336,T,English,USA,1,high,
tt2543164,T,Multilingual/Foreign,USA,1,high,500Mil
tt2562232,R,English,USA,1,high,N/A
tt2582802,R,English,USA,1,high,N/A
tt2621000,Not Rated,Hindi,India,0,N/A,N/A
tt0264464,T,Multilingual/Foreign,USA,1,high,500Mil
tt0265208,R,English,USA,0,mid,100Mil
tt0266543,G,English,USA,1,high,500Mil
tt0268978,T,English,USA,1,high,N/A
tt2704998,R,English,USA,0,mid,100Mil
tt0272338,R,English,USA,1,high,100Mil
tt2788710,R,Multilingual/Foreign,USA,0,mid,10Mil
tt2798920,R,English,UK,0,high,N/A
tt2806788,Not Rated,Hindi,India,0,N/A,1Mil
tt2872718,R,English,USA,1,high,N/A
tt2911666,R,Multilingual/Foreign,USA,0,high,N/A
tt2980516,T,Multilingual/Foreign,UK,1,high,100Mil
tt0298203,R,English,USA,1,high,500Mil
tt3019620,Not Rated,Hindi,India,0,N/A,N/A
tt3065204,R,English,Canada,0,mid,500Mil
tt3104988,T,Multilingual/Foreign,USA,1,high,N/A
tt3165612,R,English,USA,0,mid,N/A
tt3170832,R,English,Ireland,1,high,100Mil
tt0317219,G,Multilingual/Foreign,USA,1,high,500Mil
tt0317705,T,Multilingual/Foreign,USA,1,high,N/A
tt3183660,T,Multilingual/Foreign,UK,1,mid,N/A
tt0032553,Not Rated,Multilingual/Foreign,USA,1,N/A,N/A
tt3315342,R,Multilingual/Foreign,USA,1,high,N/A
tt3322420,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt0332379,T,English,USA,1,high,100Mil
tt0333766,R,Multilingual/Foreign,USA,0,high,100Mil
tt0335266,R,Multilingual/Foreign,USA,1,high,100Mil
tt0338013,R,English,USA,1,high,100Mil
tt0343660,T,Multilingual/Foreign,USA,0,mid,500Mil
tt3447364,Not Rated,Multilingual/Foreign,India,0,N/A,1Mil
tt3544112,T,Multilingual/Foreign,Ireland,1,high,10Mil
tt3606752,G,English,USA,0,mid,500Mil
tt3606756,T,English,USA,1,high,N/A
tt0361748,R,Multilingual/Foreign,Germany,1,high,500Mil
tt0365748,R,English,UK,0,high,100Mil
tt3659388,T,Multilingual/Foreign,UK,1,high,500Mil
tt0367110,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt0367594,T,English,UK,1,high,500Mil
tt0369610,T,English,USA,0,mid,
tt0371724,T,English,UK,0,mid,100Mil
tt3731562,T,Multilingual/Foreign,USA,1,mid,N/A
tt0373469,R,English,USA,0,high,10Mil
tt3741834,T,Multilingual/Foreign,UK,1,high,100Mil
tt0374887,Not Rated,Hindi,India,0,N/A,N/A
tt3767372,Not Rated,Multilingual/Foreign,India,0,N/A,10Mil
tt0377092,T,Multilingual/Foreign,USA,0,mid,100Mil
tt3783958,T,English,USA,1,high,500Mil
tt0379786,T,Multilingual/Foreign,USA,0,high,100Mil
tt3799694,R,Multilingual/Foreign,USA,0,high,100Mil
tt0382932,G,Multilingual/Foreign,USA,1,high,500Mil
tt3850214,R,Multilingual/Foreign,USA,0,high,100Mil
tt3859980,Not Rated,Hindi,India,0,mid,10Mil
tt3863552,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt3890160,R,Multilingual/Foreign,UK,1,high,500Mil
tt3896198,T,English,USA,1,high,N/A
tt4034228,R,English,USA,1,high,N/A
tt4052882,T,Multilingual/Foreign,USA,0,mid,N/A
tt4110568,Not Rated,Hindi,India,0,N/A,N/A
tt4154796,T,Multilingual/Foreign,USA,1,high,N/A
tt4160708,R,English,USA,0,high,100Mil
tt4169250,Not Rated,Hindi,India,0,N/A,10Mil
tt0420293,R,English,USA,0,high,N/A
tt0434409,R,English,USA,0,mid,100Mil
tt4354792,Not Rated,English,India,0,N/A,N/A
tt0437086,T,Multilingual/Foreign,USA,0,mid,N/A
tt4385888,R,English,USA,1,high,10Mil
tt0043972,Not Rated,Multilingual/Foreign,France,1,N/A,N/A
